mf_ind,mf,ec,C,H,O,NSP,other,search_m0,search_m,pa_mm_abs,pa_mm_max,pa_mm_rel,major_count,minor_count,major_multi_count,minor_multi_count,p_d1,p_d2,p_dinf,pa_sum_abs,pa_sum_max,pa_sum_rel,tma_m_err_ppm
3904,C20H33O6Cl,HCOCl,20,33,6,0,1,404.1965665,403.18929003312,3,5.8,0.517241379310345,3,0,0,0,0.0975864222273231,0.0714189767518877,0.0692115277051926,1.5362723916769,1.65323251439258,0.929253676238848,0.277416472794378
3955,C18H27O8Cl,HCOCl,18,27,8,0,1,406.1394455,405.13216903312,2,6.7,0.298507462686567,2,0,0,0,0.439397967304103,0.329889372533526,0.319957792758942,1.19468310475349,1.58983466483187,0.751451161042483,0.163462739698447
3962,C20H35O6Cl,HCOCl,20,35,6,0,1,406.2122165,405.20494003312,2,5.8,0.344827586206897,2,0,0,0,0.418316855095327,0.259669205761494,0.216314598917961,1.31995779275894,1.64715152326971,0.801357843593364,0.274522956811796
4048,C19H19O8Cl,HCOCl,19,19,8,0,1,410.0768452,409.06956873312,3,6.7,0.447761194029851,3,0,0,0,0.879466759623028,0.706836880493583,0.694875717163086,1.52545659244061,1.64036496949848,0.929949505631662,0.171832331424969
4054,C20H23O7Cl,HCOCl,20,23,7,0,1,410.1132308,409.10595433312,3,5.7,0.526315789473684,3,0,0,0,1.28654411341995,0.867679332479587,0.783685386180878,1.5362723916769,1.65451830578968,0.928531516575551,0.615240569600549
4064,C22H31O5Cl,HCOCl,22,31,5,0,1,410.1860018,409.17872533312,2,5.8,0.344827586206897,2,0,0,0,1.65658304095268,0.963777439012496,0.762053966522217,1.23794600367546,1.64815253065899,0.751111308357174,0.998861680321708
4109,C19H21O8Cl,HCOCl,19,21,8,0,1,412.0924953,411.08521883312,2,6.7,0.298507462686567,2,0,0,0,0.68744369095657,0.439685743200859,0.319957792758942,1.20549879968166,1.60415146674495,0.751486891775743,0.351728777349398
4114,C20H25O7Cl,HCOCl,20,25,7,0,1,412.1288808,411.12160433312,3,5.7,0.526315789473684,3,0,0,0,0.422050296328962,0.339615741389186,0.332134425640106,1.5362723916769,1.65474833291955,0.92840244109289,0.41617309437523
4119,C21H29O6Cl,HCOCl,21,29,6,0,1,412.1652663,411.15798983312,4,5.8,0.689655172413793,4,0,0,0,0.06078399438411,0.0349014771748949,0.0298201441764832,1.61976018548012,1.67568733694498,0.966624351553064,0.0330893821265024
4157,C18H19O9Cl,HCOCl,18,19,9,0,1,414.0717599,413.06448343312,3,6.8,0.441176470588235,3,0,0,0,0.208962509641424,0.139057061639644,0.123074144124985,1.51464089751244,1.62600738578476,0.931509235907575,0.310814761917049
4164,C19H23O8Cl,HCOCl,19,23,8,0,1,414.1081454,413.10086893312,4,6.7,0.597014925373134,4,0,0,0,0.130833047092892,0.101304233610454,0.0995772331953049,1.59120754152536,1.64542941446416,0.967046977243655,0.372533380313896
4170,C20H27O7Cl,HCOCl,20,27,7,0,1,414.1445309,413.13725443312,4,5.7,0.701754385964912,4,0,0,0,0.0932684084400535,0.0642329799675301,0.0596592277288437,1.6054839193821,1.65953238878865,0.967431506747509,0.243021348499518
4175,C21H31O6Cl,HCOCl,21,31,6,0,1,414.1809164,413.17363993312,3,5.8,0.517241379310345,3,0,0,0,0.261394214816391,0.147543987721243,0.0963751673698425,1.54708808660507,1.6703669258859,0.926196551565791,0.539503243927545
4215,C18H21O9Cl,HCOCl,18,21,9,0,1,416.0874099,415.08013343312,3,6.8,0.441176470588235,3,0,0,0,0.102671722183004,0.0669840156814352,0.062290370464325,1.51464089751244,1.6262374126818,0.931377476437874,0.336788162519511
4220,C19H25O8Cl,HCOCl,19,25,8,0,1,416.1237954,415.11651893312,4,6.7,0.597014925373134,4,0,0,0,0.0279985243687406,0.0150535306990053,0.0104283094406128,1.59120754152536,1.64565944159403,0.966911805266388,0.234395544438067
4226,C20H29O7Cl,HCOCl,20,29,7,0,1,416.1601809,415.15290443312,4,5.8,0.689655172413793,4,0,0,0,0.0409226370975375,0.024742899290222,0.0219801366329193,1.6054839193821,1.66082959680352,0.966675884432727,0.1922396666517
4231,C21H33O6Cl,HCOCl,21,33,6,0,1,416.1965665,415.18929003312,3,5.8,0.517241379310345,3,0,0,0,0.268445384688675,0.170576720183998,0.149173051118851,1.54708808660507,1.67059695301577,0.926069022101505,0.337716482704024
